/db1/myserver/mariadb/bin/mariadbd, Version: 10.11.6-MariaDB-log (MariaDB Server). started with:
Tcp port: 3306  Unix socket: /db1/myserver/mariadb/mysql.sock
Time		    Id Command	Argument
		   107 Quit	
250802  0:20:01	   108 Connect	harsh@localhost on  using Socket
		   108 Query	/*!40100 SET @@SQL_MODE='' */
		   108 Query	/*!40103 SET TIME_ZONE='+00:00' */
		   108 Query	/*!100100 SET @@MAX_STATEMENT_TIME=0.000000 */
		   108 Query	/*!100100 SET WAIT_TIMEOUT=DEFAULT */
		   108 Query	set optimizer_switch='semijoin=off'
		   108 Query	SELECT LOGFILE_GROUP_NAME, FILE_NAME, TOTAL_EXTENTS, INITIAL_SIZE, ENGINE, EXTRA FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'UNDO LOG' AND FILE_NAME IS NOT NULL AND LOGFILE_GROUP_NAME IS NOT NULL GROUP BY LOGFILE_GROUP_NAME, FILE_NAME, ENGINE, TOTAL_EXTENTS, INITIAL_SIZE ORDER BY LOGFILE_GROUP_NAME
		   108 Query	SELECT DISTINCT TABLESPACE_NAME, FILE_NAME, LOGFILE_GROUP_NAME, EXTENT_SIZE, INITIAL_SIZE, ENGINE FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'DATAFILE' ORDER BY TABLESPACE_NAME, LOGFILE_GROUP_NAME
		   108 Query	set optimizer_switch=default
		   108 Query	SHOW DATABASES
		   108 Init DB	dbmanager_access_db
		   108 Query	SHOW CREATE DATABASE IF NOT EXISTS `dbmanager_access_db`
		   108 Query	SHOW FULL TABLES
		   108 Query	LOCK TABLES `table_access_map` READ /*!32311 LOCAL */,`virtual_db_map` READ /*!32311 LOCAL */,`virtual_table_map` READ /*!32311 LOCAL */
		   108 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'table_access_map'
		   108 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Query	show create table `table_access_map`
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='table_access_map' order by ordinal_position
		   108 Query	SELECT /*!40001 SQL_NO_CACHE */ `id`, `grantee`, `owner`, `virtual_db_name`, `virtual_table_name`, `access_scope`, `created_at`, `created_by`, `status` FROM `table_access_map`
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Init DB	dbmanager_access_db
		   108 Query	select @@collation_database
		   108 Query	SELECT TRIGGER_NAME FROM INFORMATION_SCHEMA.TRIGGERS WHERE EVENT_OBJECT_SCHEMA = DATABASE() AND EVENT_OBJECT_TABLE = 'table_access_map'
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'virtual_db_map'
		   108 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Query	show create table `virtual_db_map`
		   108 Query	SET SESSION character_set_results = 'utf8mb4'
		   108 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='virtual_db_map' order by ordinal_position
		   108 Query	SELECT /*!40001 SQL_NO_CACHE */ `id`, `virtual_db_name`, `username`, `created_at`, `last_updated_at`, `created_by`, `last_updated_by`, `deleted_by`, `status` FROM `virtual_db_map`
		   108 Query	SET SESSION character_set_results = 'binary'
		   108 Init DB	dbmanager_access_db
		   108 Query	select @@collation_database
