/db1/myserver/mariadb/bin/mariadbd, Version: 10.11.6-MariaDB-log (MariaDB Server). started with:
Tcp port xxx  Unix socket: /db1/myserver/mariadb/mysql.sock
Time		    Id Command	Argument
		   109 Quit	
250803  0:xxx:xxx	   110 Connect	harsh@localhost on  using Socket
		   110 Query	/*!40100 SET @@SQL_MODE='' */
		   110 Query	/*!40103 SET TIME_ZONE='+00:xxx' */
		   110 Query	/*!100100 SET @@MAX_STATEMENT_TIME=0.000000 */
		   110 Query	/*!100100 SET WAIT_TIMEOUT=DEFAULT */
		   110 Query	set optimizer_switch='semijoin=off'
		   110 Query	SELECT LOGFILE_GROUP_NAME, FILE_NAME, TOTAL_EXTENTS, INITIAL_SIZE, ENGINE, EXTRA FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'UNDO LOG' AND FILE_NAME IS NOT NULL AND LOGFILE_GROUP_NAME IS NOT NULL GROUP BY LOGFILE_GROUP_NAME, FILE_NAME, ENGINE, TOTAL_EXTENTS, INITIAL_SIZE ORDER BY LOGFILE_GROUP_NAME
		   110 Query	SELECT DISTINCT TABLESPACE_NAME, FILE_NAME, LOGFILE_GROUP_NAME, EXTENT_SIZE, INITIAL_SIZE, ENGINE FROM INFORMATION_SCHEMA.FILES WHERE FILE_TYPE = 'DATAFILE' ORDER BY TABLESPACE_NAME, LOGFILE_GROUP_NAME
		   110 Query	set optimizer_switch=default
		   110 Query	SHOW DATABASES
		   110 Init DB	dbmanager_access_db
		   110 Query	SHOW CREATE DATABASE IF NOT EXISTS `dbmanager_access_db`
		   110 Query	SHOW FULL TABLES
		   110 Query	LOCK TABLES `table_access_map` READ /*!32311 LOCAL */,`virtual_db_map` READ /*!32311 LOCAL */,`virtual_table_map` READ /*!32311 LOCAL */
		   110 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'table_access_map'
		   110 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   110 Query	SET SESSION character_set_results = 'binary'
		   110 Query	show create table `table_access_map`
		   110 Query	SET SESSION character_set_results = 'utf8mb4'
		   110 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='table_access_map' order by ordinal_position
		   110 Query	SELECT /*!40001 SQL_NO_CACHE */ `id`, `grantee`, `owner`, `virtual_db_name`, `virtual_table_name`, `access_scope`, `created_at`, `created_by`, `status` FROM `table_access_map`
		   110 Query	SET SESSION character_set_results = 'binary'
		   110 Init DB	dbmanager_access_db
		   110 Query	select @@collation_database
		   110 Query	SELECT TRIGGER_NAME FROM INFORMATION_SCHEMA.TRIGGERS WHERE EVENT_OBJECT_SCHEMA = DATABASE() AND EVENT_OBJECT_TABLE = 'table_access_map'
		   110 Query	SET SESSION character_set_results = 'utf8mb4'
		   110 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'virtual_db_map'
		   110 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   110 Query	SET SESSION character_set_results = 'binary'
		   110 Query	show create table `virtual_db_map`
		   110 Query	SET SESSION character_set_results = 'utf8mb4'
		   110 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='virtual_db_map' order by ordinal_position
		   110 Query	SELECT /*!40001 SQL_NO_CACHE */ `id`, `virtual_db_name`, `username`, `created_at`, `last_updated_at`, `created_by`, `last_updated_by`, `deleted_by`, `status` FROM `virtual_db_map`
		   110 Query	SET SESSION character_set_results = 'binary'
		   110 Init DB	dbmanager_access_db
		   110 Query	select @@collation_database
		   110 Query	SELECT TRIGGER_NAME FROM INFORMATION_SCHEMA.TRIGGERS WHERE EVENT_OBJECT_SCHEMA = DATABASE() AND EVENT_OBJECT_TABLE = 'virtual_db_map'
		   110 Query	SET SESSION character_set_results = 'utf8mb4'
		   110 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'virtual_table_map'
		   110 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   110 Query	SET SESSION character_set_results = 'binary'
		   110 Query	show create table `virtual_table_map`
		   110 Query	SET SESSION character_set_results = 'utf8mb4'
		   110 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='virtual_table_map' order by ordinal_position
		   110 Query	SELECT /*!40001 SQL_NO_CACHE */ `id`, `virtual_table_name`, `virtual_db_name`, `username`, `created_at`, `last_updated_at`, `created_by`, `last_updated_by`, `deleted_by`, `status` FROM `virtual_table_map`
		   110 Query	SET SESSION character_set_results = 'binary'
		   110 Init DB	dbmanager_access_db
		   110 Query	select @@collation_database
		   110 Query	SELECT TRIGGER_NAME FROM INFORMATION_SCHEMA.TRIGGERS WHERE EVENT_OBJECT_SCHEMA = DATABASE() AND EVENT_OBJECT_TABLE = 'virtual_table_map'
		   110 Query	SET SESSION character_set_results = 'utf8mb4'
		   110 Query	UNLOCK TABLES
		   110 Init DB	dbmanager_audit_db
		   110 Query	SHOW CREATE DATABASE IF NOT EXISTS `dbmanager_audit_db`
		   110 Query	SHOW FULL TABLES
		   110 Query	LOCK TABLES `login_audit_log` READ /*!32311 LOCAL */,`session_audit_log` READ /*!32311 LOCAL */,`signup_audit_log` READ /*!32311 LOCAL */
		   110 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'login_audit_log'
		   110 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   110 Query	SET SESSION character_set_results = 'binary'
		   110 Query	show create table `login_audit_log`
		   110 Query	SET SESSION character_set_results = 'utf8mb4'
		   110 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='login_audit_log' order by ordinal_position
		   110 Query	SELECT /*!40001 SQL_NO_CACHE */ `id`, `username`, `status`, `reason`, `ip_address`, `user_agent`, `token_issued`, `status_code`, `timestamp`, `created_by` FROM `login_audit_log`
		   110 Query	SET SESSION character_set_results = 'binary'
		   110 Init DB	dbmanager_audit_db
		   110 Query	select @@collation_database
		   110 Query	SELECT TRIGGER_NAME FROM INFORMATION_SCHEMA.TRIGGERS WHERE EVENT_OBJECT_SCHEMA = DATABASE() AND EVENT_OBJECT_TABLE = 'login_audit_log'
		   110 Query	SET SESSION character_set_results = 'utf8mb4'
		   110 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'session_audit_log'
		   110 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   110 Query	SET SESSION character_set_results = 'binary'
		   110 Query	show create table `session_audit_log`
		   110 Query	SET SESSION character_set_results = 'utf8mb4'
		   110 Query	select column_name, extra, generation_expression, data_type from information_schema.columns where table_schema=database() and table_name='session_audit_log' order by ordinal_position
		   110 Query	SELECT /*!40001 SQL_NO_CACHE */ `id`, `username`, `token_hash`, `status`, `logout_reason`, `ip_address`, `user_agent`, `login_time`, `logout_time`, `created_by` FROM `session_audit_log`
		   110 Query	SET SESSION character_set_results = 'binary'
		   110 Init DB	dbmanager_audit_db
		   110 Query	select @@collation_database
		   110 Query	SELECT TRIGGER_NAME FROM INFORMATION_SCHEMA.TRIGGERS WHERE EVENT_OBJECT_SCHEMA = DATABASE() AND EVENT_OBJECT_TABLE = 'session_audit_log'
		   110 Query	SET SESSION character_set_results = 'utf8mb4'
		   110 Query	SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'signup_audit_log'
		   110 Query	SET SQL_QUOTE_SHOW_CREATE=1
		   110 Query	SET SESSION character_set_results = 'binary'
		   110 Query	show create table `signup_audit_log`
		   110 Query	SET SESSION character_set_results = 'utf8mb4'
